,ask_price_1,ask_size_1,bid_price_1,bid_size_1,ask_price_2,ask_size_2,bid_price_2,bid_size_2,ask_price_3,ask_size_3,bid_price_3,bid_size_3,ask_price_4,ask_size_4,bid_price_4,bid_size_4,ask_price_5,ask_size_5,bid_price_5,bid_size_5,ask_price_6,ask_size_6,bid_price_6,bid_size_6,ask_price_7,ask_size_7,bid_price_7,bid_size_7,ask_price_8,ask_size_8,bid_price_8,bid_size_8,ask_price_9,ask_size_9,bid_price_9,bid_size_9,ask_price_10,ask_size_10,bid_price_10,bid_size_10
2019-06-28 14:08:01.634820080,100734,22,100733,144,100741,234,100552,234,100857,234,100182,234,101107,100,100168,19,,,100052,100,,,99884,100,,,99775,100,,,99730,100,,,99657,100,,,99111,100
2019-06-28 14:08:10.000000000,100734,106,100733,108,100741,202,100552,202,100857,202,100182,202,101107,202,100168,121,,,100052,100,,,99884,100,,,99775,100,,,99730,100,,,99657,100,,,99111,100
2019-06-28 14:08:20.000000000,100734,106,100733,108,100741,202,100552,202,100857,202,100182,202,101107,202,100168,121,,,100052,100,,,99884,100,,,99775,100,,,99730,100,,,99657,100,,,99111,100
2019-06-28 14:08:20.898621425,100734,6,100733,108,100741,202,100552,202,100857,202,100182,202,101107,202,100168,102,,,100052,100,,,99884,100,,,99775,100,,,99730,100,,,99657,100,,,99111,100
2019-06-28 14:08:30.000000000,100741,181,100733,87,100857,181,100552,181,101107,181,100182,181,101108,81,100052,181,,,99884,181,,,99775,100,,,99730,100,,,99657,100,,,99111,100,,,99110,100
2019-06-28 14:08:40.000000000,100741,238,100733,144,100857,234,100552,234,101107,234,100182,234,,,100052,100,,,99884,100,,,99775,100,,,99730,100,,,99657,100,,,99111,100,,,99110,100
2019-06-28 14:08:50.000000000,100741,238,100733,144,100857,234,100552,234,101107,234,100182,234,,,100052,100,,,99884,100,,,99775,100,,,99730,100,,,99657,100,,,99111,100,,,99110,100
2019-06-28 14:08:55.150310626,100741,238,100733,144,100857,234,100552,234,101107,234,100182,234,,,100096,100,,,100052,100,,,99884,100,,,99775,100,,,99730,100,,,99657,100,,,99111,100
2019-06-28 14:08:59.499427216,100741,238,100733,144,100857,234,100552,234,101107,234,100182,234,,,100096,100,,,100052,100,,,100040,100,,,99884,100,,,99775,100,,,99730,100,,,99657,100
2019-06-28 14:09:00.000000000,100741,118,100733,144,100857,234,100552,234,101107,234,100182,234,,,100096,100,,,100052,100,,,100040,100,,,99884,100,,,99775,100,,,99730,100,,,99657,100
2019-06-28 14:09:03.460509514,100741,118,100733,44,100857,234,100552,234,101107,234,100182,234,,,100096,100,,,100052,100,,,100040,100,,,99884,100,,,99775,100,,,99730,100,,,99657,100
